Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
LL00126,B_2,EL PALMAR,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,AV DOS DE MAYO 1330,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.14856,-79.0442,,Black,LL00126
LA00277,D_3,EL PAPAYO,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,"ESQUINA CALLE LA PARROQUIA CON PARQUE CENTRAL, CASERIO EL PAPAYO",NO URBANO,Zona 1,REGIONES,FEE,-6.17908,-79.69405,Sitio_FITEL,Abandonar,LA00277
LA00192,B_2,EL PARDO,LAMBAYEQUE,CHICLAYO,CHICLAYO,AV. LUIS GONZALES 1420 ,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.765904,-79.841389,,Black,LA00192
LI01666,B_2,EL PARQUE,LIMA,LIMA,ATE,MZ. F LT. 07 URB. SANTA ELVIRA,URBANO LIMA,Zona 2,LIMA,FEE,-12.027299,-76.951018,,Oro,LI01666
LI04490,B_1,EL PARRAL,LIMA,LIMA,COMAS,AV. EL PARRAL 317 MZ B LT 40 URB. VILLA HIPER,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.9619431,-77.0586498,,Oro,LI04490
LA00287,B_2,EL PAVO,LAMBAYEQUE,LAMBAYEQUE,TUCUME,FUNDO EL PAVO - SECTOR DE FUNDO VERA,NO URBANO,Zona 1,REGIONES,FEE,-6.50193,-79.83455,Sitio_FITEL,Abandonar,LA00287
LI00067,D_1,CONCHAN (CORVINA),LIMA,LIMA,VILLA EL SALVADOR,"ALT. KM 23,3 PANAMERICANA SUR, COMUNIDAD LLANAVILLA",URBANO LIMA,Zona 2,LIMA,FEE,-12.242724,-76.94558,,Oro,LI00067
UC00047,B_2,EL PESCADOR,UCAYALI,CORONEL PORTILLO,YARINACOCHA,JR. AGUAYTIA N° 1713,URBANO REGIONES,Zona 2,REGIONES,FEE,-8.36605,-74.56369,,Clásico,UC00047
LI04455,B_1,EL PINAR,LIMA,LIMA,COMAS,AV. EL PINAR PARCELA 1 MZ B3 LT 29 URB. EL PINAR,URBANO LIMA,Zona 3,LIMA,FEE,-11.9154469,-77.0504567,,Oro,LI04455
AN00335,B_3,EL PINAR URA,ANCASH,HUARAZ,INDEPENDENCIA,Calle 5 Mz. C-14 Lt. 5 Complejo Habitacional Antamina,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-9.51455833,-77.51277778,,Oro,AN00335
LI04498,B_1,EL PINO,LIMA,LIMA,ATE,MELITON CARBAJAL 513 URB. VALDIVIEZO,URBANO LIMA,Zona 2,LIMA,FEE,-12.06209167,-76.98841111,,Oro,LI04498
LL00037,D_3,EL PORVENIR ALTO,LA LIBERTAD,TRUJILLO,EL PORVENIR,AV. SÁNCHEZ CARRIÓN Nº 1621,URBANO REGIONES,Zona 1,REGIONES,FEE,-8.085006,-79.000703,,Oro,LL00037
LI01181,P_3,ANCON URA,LIMA,LIMA,ANCON,AV. JULIO C. TELLO 226 - 228. URBANIZACIÓN LA PERA,URBANO LIMA,Zona 3,LIMA,FEE,-11.7711,-77.1715,,Clásico,LI01181
LL00315,B_2,EL PORVENIR ESTADIO,LA LIBERTAD,TRUJILLO,EL PORVENIR,"JR. ATAHUALPA 773 ,  RIO SECO",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.076725,-79.004801,,Oro,LL00315
LI04456,B_1,EL PROGRESO,LIMA,LIMA,CARABAYLLO,BUSTAMANTE Y RIVERO 122 EL PROGRESO,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.87290472,-77.01448083,,Oro,LI04456
LI00846,B_2,EL PUEBLO,LIMA,LIMA,ATE,"Calle Héctor Vilca Rojas Mz.X; Lote 7, Urbanizac¡ón Cooperativa de Viv¡enda Manylsa Ltda. N'476.",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.030078,-76.888181,,Oro,LI00846
LA00288,D_2,EL PUENTE,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Comunidad Campesina Santo Domingo de Olmos - Centro Poblado El Puente,NO URBANO,Zona 1,REGIONES,FEE,-5.883513,-79.884847,Sitio_FITEL,Oro,LA00288
CA00090,B_1,EL QUINDE,CAJAMARCA,CAJAMARCA,CAJAMARCA,"PREDIO SAN JOSE, PARTE BAJA DEL BARRIO PUEBLO NUEVO (JR SAN ROQUE N° 189, URB SAN LUIS)",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-7.1502,-78.50888,,Oro,CA00090
AM00209,B_2,EL REJO,AMAZONAS,CHACHAPOYAS,LEVANTO,"CERRO EL REJO, SECTOR LOROPICO",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.29101667,-77.81149167,,Abandonar,AM00209
LA00059,D_1,EL BOSQUE / ORREGO,LAMBAYEQUE,CHICLAYO,LA VICTORIA,AV. ANTENOR ORREGO 1500 ,URBANO REGIONES,Zona 1,REGIONES,FEE,-6.798096,-79.83371,,Clásico,LA00059
LA00289,D_3,EL SAUCE,LAMBAYEQUE,LAMBAYEQUE,SALAS,"CC.PP EL SAUCE, COMUNIDAD SAN FRANCISCO DE ASIS",NO URBANO,Zona 1,REGIONES,FEE,-6.247668,-79.548117,Sitio_FITEL,Abandonar,LA00289
